date,venue,race_no,race_id,bet_type,bet_label,candidate_rank,buy,prob,odds_used,expected_profit_100yen,is_selected,stake_yen,return_if_hit_yen,profit_if_hit_yen,loss_amount_yen,expected_profit_yen
2026-07-07,久留米,4,048320260707,exacta,2車単,5,2-1,0.07698758566104802,132.0,916,True,400,52800.0,52400.0,400,3664.0
2026-07-07,久留米,4,048320260707,quinella_place,ワイド,4,2-4,0.13280757217007141,32.5,332,True,200,6500.0,6300.0,200,664.0
2026-07-07,取手,4,042320260707,exacta,2車単,3,1-3,0.12487688729132253,79.6,894,True,300,23880.0,23580.0,300,2682.0
2026-07-07,取手,4,042320260707,quinella_place,ワイド,5,1-4,0.11431019154200399,51.0,483,True,200,10200.0,10000.0,200,966.0
2026-07-07,取手,4,042320260707,quinella_place,ワイド,4,1-2,0.11431019154200399,39.1,347,True,200,7820.0,7620.0,200,694.0
2026-07-07,取手,11,112320260707,exacta,2車単,6,2-4,0.06010280545382353,158.6,853,True,300,47580.0,47280.0,300,2559.0
2026-07-07,弥彦,2,022120260707,trio,3連複,1,3-4-5,0.2135627911783031,72.1,1440,True,500,36050.0,35550.0,500,7200.0
2026-07-07,弥彦,3,032120260707,exacta,2車単,2,4-3,0.159574462555056,98.2,1467,True,500,49100.0,48600.0,500,7335.0
2026-07-07,弥彦,3,032120260707,trifecta,3連単,4,3-4-5,0.07323332690412347,134.2,883,True,300,40260.0,39960.0,300,2649.0
2026-07-07,弥彦,3,032120260707,trio,3連複,1,3-4-5,0.25100472095108645,78.9,1880,True,500,39450.0,38950.0,500,9400.0
2026-07-07,弥彦,6,062120260707,exacta,2車単,1,3-7,0.11426773368443476,132.7,1416,True,500,66350.0,65850.0,500,7080.0
2026-07-07,弥彦,9,092120260707,quinella_place,ワイド,1,5-7,0.28068789533226307,23.7,565,True,200,4740.0,4540.0,200,1130.0
2026-07-07,玉野,4,046120260707,trio,3連複,1,1-5-6,0.15544942489056485,102.7,1496,True,500,51350.0,50850.0,500,7480.0
2026-07-07,玉野,6,066120260707,trifecta,3連単,3,1-7-3,0.07700836068202073,141.2,987,True,400,56480.0,56080.0,400,3948.0
2026-07-07,豊橋,7,074520260707,quinella_place,ワイド,4,3-4,0.11960637234490688,41.2,393,True,200,8240.0,8040.0,200,786.0
2026-07-07,防府,8,086320260707,quinella,2車複,6,5-6,0.05481965772747604,268.8,1374,True,500,134400.0,133900.0,500,6870.0
2026-07-07,防府,8,086320260707,quinella_place,ワイド,4,2-6,0.1776740183478397,24.2,330,True,200,4840.0,4640.0,200,660.0
