bet_type,bet_label,period,bets,hits,stake_yen,return_yen,profit_yen,roi
exacta,2車単,Q1??,4174,42,788700,538480,-250220,-0.3172562444528972
exacta,2車単,Q2,4315,44,738800,661840,-76960,-0.10416892257715214
exacta,2車単,Q3,4372,45,716200,762270,46070,0.0643256073722424
exacta,2車単,Q4???,4437,54,675700,591850,-83850,-0.12409353263282522
quinella,2車複,Q1??,2962,75,466300,408680,-57620,-0.12356851812138109
quinella,2車複,Q2,3089,66,449800,399340,-50460,-0.11218319253001334
quinella,2車複,Q3,3011,66,419800,404440,-15360,-0.036588851834206765
quinella,2車複,Q4???,2823,68,367600,299170,-68430,-0.18615342763873777
quinella_place,ワイド,Q1??,1451,88,192300,235350,43050,0.22386895475819032
quinella_place,ワイド,Q2,1280,87,163700,298800,135100,0.8252901649358583
quinella_place,ワイド,Q3,1161,98,146200,218600,72400,0.4952120383036936
quinella_place,ワイド,Q4???,1171,89,143800,200610,56810,0.3950625869262865
trifecta,3連単,Q1??,3442,26,703900,720180,16280,0.02312828526779372
trifecta,3連単,Q2,3353,21,618200,491720,-126480,-0.20459398252992558
trifecta,3連単,Q3,3504,19,643000,697410,54410,0.08461897356143079
trifecta,3連単,Q4???,3697,34,657700,961980,304280,0.46264254219248896
trio,3連複,Q1??,1602,47,272300,462030,189730,0.6967682702901212
trio,3連複,Q2,1593,33,249800,466770,216970,0.8685748598879103
trio,3連複,Q3,1582,29,242800,203760,-39040,-0.16079077429983527
trio,3連複,Q4???,1502,43,222400,431500,209100,0.9401978417266187
